îN,åé,ì˙,éû,èºåÀç™ñ{,ésêÏñ{î™î¶,èKéuñÏìåèKéuñÏ,(êÁót)ã{ñÏñÿ,éså¥ä‚çËêº,éså¥åSñ{,ë≥ÉPâYâ°ìc,åNí√ãvï€,ê¨ìcî¶íJ
2016,4,1,1,0,0,0,0,0,0,0,0,0
2016,4,1,2,0,0,0,0,0,0,0,0,0
2016,4,1,3,0,0,0,0,0,0,1,0,0
2016,4,1,4,0,0,0,0,0,0,0,0,0
2016,4,1,5,0,0,0,0,0,0,0,0,0
2016,4,1,6,3,3,1,2,2,1,3,3,5
2016,4,1,7,37,33,40,36,27,22,44,42,39
2016,4,1,8,107,110,116,106,106,92,118,96,110
2016,4,1,9,178,185,190,173,172,157,157,126,183
2016,4,1,10,203,213,201,165,164,160,127,143,246
2016,4,1,11,216,164,238,194,222,231,93,124,279
2016,4,1,12,271,306,291,253,178,194,152,153,271
2016,4,1,13,273,273,255,201,190,217,142,156,293
2016,4,1,14,147,123,149,111,136,150,120,126,218
2016,4,1,15,57,45,63,52,67,74,81,87,130
2016,4,1,16,39,32,40,30,23,31,27,38,64
2016,4,1,17,27,26,20,17,15,17,20,20,19
2016,4,1,18,5,6,0,1,3,2,5,4,1
2016,4,1,19,0,0,0,0,0,0,0,0,0
2016,4,1,20,0,0,0,0,0,0,0,0,0
2016,4,1,21,0,0,0,0,0,0,0,0,0
2016,4,1,22,0,0,0,0,0,0,1,0,0
2016,4,1,23,0,0,0,0,0,0,0,0,0
2016,4,1,24,0,0,0,0,0,0,0,0,0
2016,4,2,1,0,0,0,0,0,0,0,0,0
2016,4,2,2,0,0,0,0,0,0,0,0,0
2016,4,2,3,0,0,0,0,0,0,0,0,0
2016,4,2,4,0,0,0,0,0,0,0,0,0
2016,4,2,5,0,0,0,0,0,0,0,0,0
2016,4,2,6,0,0,0,0,0,0,1,0,1
2016,4,2,7,3,5,2,3,3,4,4,5,7
2016,4,2,8,16,15,13,13,14,17,11,13,24
2016,4,2,9,26,21,26,33,40,49,28,45,23
2016,4,2,10,30,26,46,44,44,56,47,50,30
2016,4,2,11,41,39,71,54,80,91,76,76,53
2016,4,2,12,59,48,64,60,60,67,62,62,59
2016,4,2,13,48,53,44,34,43,59,60,85,37
2016,4,2,14,56,55,44,32,54,61,72,116,30
2016,4,2,15,45,47,49,43,48,61,56,63,32
2016,4,2,16,35,29,32,38,32,39,35,50,20
2016,4,2,17,10,12,9,12,15,17,17,28,14
2016,4,2,18,2,3,0,1,1,0,1,4,2
2016,4,2,19,0,0,0,0,0,0,0,0,0
2016,4,2,20,0,0,0,0,0,0,0,0,0
2016,4,2,21,0,0,0,0,0,0,0,0,0
2016,4,2,22,0,0,0,0,0,0,0,0,0
2016,4,2,23,0,0,0,0,0,0,0,0,0
2016,4,2,24,0,0,0,0,0,0,0,0,0
2016,4,3,1,0,0,0,0,0,0,1,0,0
2016,4,3,2,0,0,0,0,0,0,0,0,0
2016,4,3,3,0,0,0,0,0,0,0,0,0
2016,4,3,4,0,0,0,0,0,0,0,0,0
2016,4,3,5,0,0,0,0,0,0,0,0,0
2016,4,3,6,0,1,0,1,1,1,1,1,0
2016,4,3,7,4,6,7,7,8,12,9,4,9
2016,4,3,8,13,11,17,18,12,17,12,16,33
2016,4,3,9,30,32,34,33,43,47,44,40,43
2016,4,3,10,38,74,103,89,102,104,91,46,107
2016,4,3,11,67,68,142,108,115,125,127,110,182
2016,4,3,12,134,119,146,125,92,112,121,127,168
2016,4,3,13,87,98,143,71,95,105,113,119,129
2016,4,3,14,55,67,75,52,108,94,128,215,78
2016,4,3,15,84,125,157,118,171,127,55,144,86
2016,4,3,16,62,70,78,73,33,17,28,37,41
2016,4,3,17,29,39,39,27,14,11,12,20,20
2016,4,3,18,6,8,4,5,5,5,6,7,9
2016,4,3,19,0,0,0,0,0,0,0,0,0
2016,4,3,20,0,0,0,0,0,0,0,0,0
2016,4,3,21,0,0,0,0,0,0,0,0,0
2016,4,3,22,0,0,0,0,0,0,0,0,0
2016,4,3,23,0,0,0,0,0,0,0,0,0
2016,4,3,24,0,0,0,0,0,0,0,0,0
2016,4,4,1,0,0,0,0,0,0,0,0,0
2016,4,4,2,0,0,0,0,0,0,0,0,0
2016,4,4,3,0,0,0,0,0,0,0,0,0
2016,4,4,4,0,0,0,0,0,0,0,0,0
2016,4,4,5,0,0,0,0,0,0,0,0,0
2016,4,4,6,0,0,0,0,0,0,0,1,0
2016,4,4,7,4,6,2,2,5,5,6,10,4
2016,4,4,8,8,11,14,9,11,7,5,15,7
2016,4,4,9,18,27,14,9,22,12,23,38,13
2016,4,4,10,47,95,77,64,108,87,90,100,35
2016,4,4,11,57,92,91,72,69,88,81,83,49
2016,4,4,12,156,111,238,185,183,199,224,233,215
2016,4,4,13,244,174,245,215,226,267,278,183,229
2016,4,4,14,154,191,198,160,186,208,148,101,218
2016,4,4,15,124,126,107,89,88,101,85,64,109
